@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %03s "SPS"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720814
@ CHARGE           %le                   1
@ ENERGY           %le         270.0016303
@ PC               %le                 270
@ GAMMA            %le         287.7647493
@ KBUNCH           %le                   1
@ BCURRENT         %le      0.000694949581
@ SIGE             %le              0.0006
@ SIGT             %le        0.2098546932
@ NPART            %le               1e+11
@ EX               %le      2.08504907e-08
@ EY               %le      2.08504907e-08
@ ET               %le               0.001
@ LENGTH           %le          128.375535
@ ALFA             %le     0.0003498204231
@ ORBIT5           %le                  -0
@ GAMMATR          %le         53.46596621
@ Q1               %le        0.3886145044
@ Q2               %le        0.3890673087
@ DQ1              %le       -0.2591878917
@ DQ2              %le       -0.5076397131
@ DXMAX            %le         1.808508959
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         108.5871488
@ BETYMAX          %le         108.7705904
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.293396519
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %06s "SPSUA9"
@ ORIGIN           %16s "5.03.07 Linux 64"
@ DATE             %08s "29/01/19"
@ TIME             %08s "14.22.04"
* KEYWORD            NAME                                S                  L                  X                  Y               BETX               BETY               ALFX               ALFY                MUX                MUY                 DX                 DY                DPX                DPY 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "DRIFT"             "DRIFT_17"                     14.1909              0.406                  0                  0        73.20619925        44.01072029        1.483826613      -0.9604362479        0.024558815      0.06667134764        1.542099696                  0     -0.02575246627                  0
 "HKICKER"           "MDHW.51853"                   14.3939                  0                  0                  0        72.60556795        44.40245746        1.474948219      -0.9693035163      0.02500197223      0.06740220892        1.536871945                  0     -0.02575246627                  0
 "DRIFT"             "DRIFT_18"                     14.7209              0.654                  0                  0        71.64562846        45.04105274        1.460646569      -0.9835872443      0.02572356066      0.06856597042        1.528450888                  0     -0.02575246627                  0
 "MARKER"            "AP1.UP.MDHW.51853"             15.0479                  0                  0                  0        70.69504224        45.68898957        1.446344919      -0.9978709723      0.02645483458      0.06971322976        1.520029832                  0     -0.02575246627                  0
 "DRIFT"             "DRIFT_19"                   15.047905    9.999999747e-06                  0                  0        70.69502778        45.68899955          1.4463447      -0.9978711907      0.02645484584      0.06971324718        1.520029703                  0     -0.02575246627                  0
 "MARKER"            "AP2.UP.MDHW.51853"            15.04791                  0                  0                  0        70.69501331        45.68900953        1.446344482      -0.9978714091      0.02645485709      0.06971326459        1.520029574                  0     -0.02575246627                  0
 "DRIFT"             "DRIFT_20"                   15.452905            0.80999                  0                  0        69.53066236        46.50444001        1.428631647       -1.015562046      0.02737422562      0.07111163524        1.509599954                  0     -0.02575246627                  0
 "MARKER"            "AP3.DO.MDHW.51853"             15.8579                  0                  0                  0        68.38065862        47.33419974        1.410918813       -1.033252684      0.02830902296      0.07248548885        1.499170334                  0     -0.02575246627                  0
 "DRIFT"             "DRIFT_21"                   15.857905    9.999999747e-06                  0                  0        68.38064451        47.33421007        1.410918595       -1.033252902       0.0283090346      0.07248550566        1.499170206                  0     -0.02575246627                  0
 "MARKER"            "AP4.DO.MDHW.51853"            15.85791                  0                  0                  0         68.3806304         47.3342204        1.410918376       -1.033253121      0.02830904624      0.07248552247        1.499170077                  0     -0.02575246627                  0
 "DRIFT"             "DRIFT_22"                   15.926405            0.13699                  0                  0        68.18755388        47.47597068        1.407922683       -1.036245059      0.02846869295      0.07271548369        1.497406162                  0     -0.02575246627                  0
 "MARKER"            "AP5.DO.MDHW.51853"             15.9949                  0                  0                  0        67.99488774        47.61813082         1.40492699       -1.039236998      0.02862879186      0.07294475835        1.495642246                  0     -0.02575246627                  0
 "DRIFT"             "DRIFT_23"                   15.994905    1.000000066e-05                  0                  0        67.99487369        47.61814121        1.404926772       -1.039237216      0.02862880356      0.07294477506        1.495642118                  0     -0.02575246627                  0
 "MARKER"            "AP6.DO.MDHW.51853"            15.99491                  0                  0                  0        67.99485965        47.61815161        1.404926553       -1.039237435      0.02862881527      0.07294479178        1.495641989                  0     -0.02575246627                  0
 "DRIFT"             "DRIFT_24"                   16.544905            1.09999                  0                  0        66.46268437        48.77451569        1.380872009       -1.063261835      0.02993095244      0.07476116692        1.481478261                  0     -0.02575246627                  0
 "MARKER"            "AP7.DO.MDHW.51853"             17.0949                  0                  0                  0        64.95696884        49.95730638        1.356817464       -1.087286236      0.03126319141      0.07653450635        1.467314534                  0     -0.02575246627                  0
 "DRIFT"             "DRIFT_25"                   17.094905    9.999999747e-06                  0                  0        64.95695528        49.95731725        1.356817246       -1.087286454      0.03126320366      0.07653452228        1.467314405                  0     -0.02575246627                  0
 "MARKER"            "AP8.DO.MDHW.51853"            17.09491                  0                  0                  0        64.95694171        49.95732812        1.356817027       -1.087286672      0.03126321591      0.07653453821        1.467314276                  0     -0.02575246627                  0
 "DRIFT"             "DRIFT_26"                   22.823405           11.45699                  0                  0        50.84712588        63.84778539        1.106275954        -1.33751378       0.0471536759      0.09270549265        1.319791402                  0     -0.02575246627                  0
 "INSTRUMENT"        "BCTFS.51894"                  28.5519                  0                  0                  0        39.60775662        80.60509213       0.8557348809       -1.587740888      0.06752521635       0.1054278951        1.172268527                  0     -0.02575246627                  0
 "DRIFT"             "DRIFT_27"                    29.04865             0.9935                  0                  0        38.76837632        82.19329149       0.8340090563       -1.609439487      0.06954284256       0.1063992128         1.15947599                  0     -0.02575246627                  0
 "INSTRUMENT"        "BCTDC.51895"                  29.5454                  0                  0                  0        37.95058063         83.8030484       0.8122832316       -1.631138086      0.07160405203        0.107351817        1.146683452                  0     -0.02575246627                  0
 "DRIFT"             "DRIFT_28"                     30.0854               1.08                  0                  0        37.08606814        85.57741494       0.7886658278       -1.654725894      0.07389499502       0.1083666798         1.13277712                  0     -0.02575246627                  0
 "INSTRUMENT"        "BCTDC.51897"                  30.6254                  0                  0                  0        36.24706244        87.37725633        0.765048424       -1.678313701      0.07623915793       0.1093605689        1.118870789                  0     -0.02575246627                  0
 "DRIFT"             "DRIFT_29"                    31.96025             2.6697                  0                  0        34.28254242        91.93568251        0.706667514       -1.736621451       0.0822673006       0.1117310004        1.084495109                  0     -0.02575246627                  0
 "MONITOR"           "BPMB.51905"                   33.2951                  0                  0                  0        32.47388192         96.6497729        0.648286604       -1.794929201      0.08863620748       0.1139848485        1.050119429                  0     -0.02575246627                  0
 "DRIFT"             "DRIFT_30"                     33.5431              0.496                  0                  0         32.1550217        97.54274435       0.6374400926        -1.80576212      0.08985768244       0.1143913614        1.043732818                  0     -0.02575246627                  0
